from_profile;video_id;total_video_views_paid;total_video_views_organic;total_video_10s_views;total_video_complete_views;total_video_impressions_unique;total_video_impressions_viral;total_video_impressions_fan;total_video_avg_time_watched;post_reactions_like_total;post_reactions_love_total;post_reactions_wow_total;post_reactions_haha_total;post_reactions_anger_total;post_reactions_sorry_total
1559901027613381;215806455983741;0;9187;2996;40;44963;1062;50665;10160;141;29;1;0;1;2
1559901027613381;513578442472945;0;13184;5381;42;63133;1826;71470;20246;177;15;2;11;127;7
1559901027613381;276826343018413;0;35644;15304;74;112157;24251;116867;15454;1427;349;29;12;21;4
1559901027613381;484428262048761;0;55756;26309;377;146519;13866;157863;20420;765;126;20;80;258;18
1559901027613381;1822477811184142;0;4888;1596;33;31901;2981;34410;4956;59;5;0;2;0;0
1559901027613381;774428532900951;84608;33507;62393;62;405680;36745;165162;16072;1680;101;30;49;42;379
1559901027613381;256440431893973;0;14641;5318;48;62418;12283;63327;15901;173;21;0;4;7;1
1559901027613381;1211039942378449;0;51031;24335;183;155993;19759;171158;23554;501;74;14;136;296;28
1559901027613381;2142102829145258;0;28973;9822;536;94943;5000;104990;16152;309;31;4;11;15;19
1559901027613381;284338542188950;0;65005;31614;34;212877;44030;197627;32751;1206;187;35;50;42;17
1559901027613381;352869541946720;0;17895;6807;264;77743;4506;85323;8830;164;15;16;18;8;85
1559901027613381;727870800928775;0;26075;9464;77;92173;15356;94458;12545;255;18;36;23;12;86
1559901027613381;348866502337467;0;6603;2546;3;31564;404;35500;12297;69;11;2;4;18;0
187062254656817;1175050582646531;0;25230;15587;3610;57464;11998;65312;15221;867;88;10;14;0;0
1559901027613381;196356711282357;0;35669;15358;11;153357;38680;155495;32764;423;106;59;417;554;25
1559901027613381;328463061266815;0;32326;21339;5910;127721;9644;127407;14286;447;36;4;7;1;0
1559901027613381;336939010196926;61137;112700;90825;19307;559450;254721;280143;12242;6752;919;130;37;15;3
1559901027613381;730209964006689;0;7683;4052;743;37405;246;42087;6668;39;2;0;4;0;5
187062254656817;534897350315488;0;164896;126785;32617;194959;5854;66869;33318;826;22;20;3;41;134
1559901027613381;2255814708022006;101743;48515;78289;12471;622131;56842;338310;8782;2324;268;65;14;7;2
1559901027613381;543605132718761;0;46799;26484;9028;107359;4739;122741;17633;126;8;0;7;0;1
1559901027613381;179918202951310;0;12918;5055;73;50965;2341;56628;14342;131;19;2;2;3;0
1559901027613381;291636528122152;0;9078;2943;54;42213;4423;43041;8435;254;28;4;0;0;0
1559901027613381;267110217187409;0;4989;1785;225;19395;75;25530;5290;23;0;0;2;0;0
1559901027613381;522418344909273;0;25720;12621;1245;106966;9979;142840;12974;108;5;11;1;1;1
1559901027613381;335475843701689;0;19015;6988;36;82427;9769;82753;11388;219;50;17;8;10;5
187062254656817;961678464039120;0;41358;29841;13076;73075;6504;76124;37551;605;18;2;19;1;0
1559901027613381;748162968865285;0;46512;28667;8019;177336;7018;194585;16404;475;5;5;12;136;82
1559901027613381;2255447234725420;98565;114837;114587;27749;588582;126785;473759;25219;1120;12;20;13;144;55
1559901027613381;116119575959220;0;10736;5336;746;67119;3121;74519;7104;175;7;2;25;4;12
187062254656817;583100605477625;0;12179;7322;1515;38515;3149;35072;12140;195;14;1;0;0;9
1559901027613381;198846811016812;28925;28080;28411;3060;207769;13144;115633;16448;745;17;4;4;4;57
187062254656817;495241420981388;0;44323;26534;9247;85282;2306;64053;22751;401;9;8;3;1;25
1559901027613381;292939764678604;16395;17111;15462;3150;91315;7691;58943;16568;232;13;2;40;2;3
1559901027613381;1069471743225456;112777;99674;117245;27637;586155;71801;291588;19264;2779;94;39;72;596;172
1559901027613381;2058513877549040;79788;72284;93633;22659;366291;29068;218437;15812;1100;13;15;9;125;303
187062254656817;319448355313541;0;188771;129832;31264;269910;32261;96778;33975;1797;71;22;125;10;10
1559901027613381;319795362148434;76700;47168;85259;9651;341981;38398;160097;14812;1293;127;16;572;8;12
1559901027613381;256086778382462;0;20127;7083;66;78919;9140;84282;14239;186;56;1;6;207;10
1559901027613381;482053222322841;0;38067;18730;2147;142977;30127;144661;19586;474;4;4;2;49;90
187062254656817;2134991379896954;0;147461;97903;16718;195325;59610;77189;74346;2392;249;19;7;3;3
1559901027613381;589792161437914;41629;38648;43470;7774;222929;37812;199354;15857;1112;38;12;18;181;118
1559901027613381;284493388873358;0;23645;12661;720;102570;11363;102778;9596;514;46;24;7;0;1
